1 - Šťastnú cestu Johanna - Maj sa dobre mama , Šťastnú cestu Johanna = Happy Journey Johanna - Maj sa dobre mama = Be well mom, [sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/01_Track_1.mp3]
21 - Ahojte = - Čau,Ahojte = Hello - Čau = Hello/Goodbye,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/21_Track_21.mp3]
22 - Maj Sa - Čaute,Maj Sa = Have a good time - Čaute = Hello/Goodbye,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/22_Track_22.mp3]
23 - Pekný deň Zuzka - Aj tebe Robo,Pekný deň Zuzka = Good day Zuzka - Aj tebe Robo = You too Robo,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/23_Track_23.mp3]
24 - Ano - Nie,Ano = Yes - Nie = No,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/24_Track_24.mp3]
25 - Ruzimiete po slovensky,Ruzimiete po slovensky = You speak Slovak,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/25_Track_25.mp3]
26 - Nil,Atlas = Atlas (book) - Káva = Coffee - električka = Electric Tram - Gél = Gel (sauce) - pivo = Beer - Víno = Wine - dom = House(domiscile) - Citrón = Lemon - učiteľ = teacher - kľúč = key,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/26_Track_26.mp3]
27 - Nil,pes - pas. Suma - Sama. Kaša - Kuša. Rok - Rak. Doma - Dama. Plat - Plot. Tvar - Tvor. Kroj - Krýj,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/27_Track_27.mp3]
28 - Byt - Rýchlik - Biť - Byť - Vír - Výr,Byt = Appartment - Rýchlik = Speedster - Biť = To beat - Byť = To be - Vír = Vortex - Výr = Eagle-Owl,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/28_Track_28.mp3]
29 - Päť - Peť - Mäso - Meso - Deväť - Ďeveť - Bábätko - Bábetko,Päť = Five - Peť = Five - Mäso = Meat - Meso = Meat - Deväť = Nine - Ďeveť = Nine - Bábätko = Baby - Bábetko = Baby,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/29_Track_29.mp3]
30 - Pohár,Pohár = Cup,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/30_Track_30.mp3]
31 - Rad - Rád - Sud - Súd - Vila - Víla - Chyba - Chýba - Zle - Dom,Rad = Row - Rád = Glad to - Sud = Barrel - Súd = Court - Vila = Villa - Víla = Fairy - Chyba = Error - Chýba = Missing - Zle = bad - Dom = House,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/31_Track_31.mp3]
32 - Nil,mame - máme / rád - rad / sudy - súdy / sprava - správa / dobré - dobre / hra - hrá / prave - práve / latka - látka / lós - los /  lôky - loky / zle - zlé / párky - parky / pol - pól / babka - bábka / píla - pila / bolý - boly / vinny - vínny / presipať - presípať / chiba - chíba / vinny - vinný,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/32_Track_32.mp3]
33 - Vianoce - Cireny- Hľadá novšiu informáciu - stôl,Vianoce = Christmas - Cireny = Black - Hľadá novšiu informáciu = He is looking for new information - stôl = table,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/33_Track_33.mp3]
34 -Rad - Riad - mesto - Miesto - podá - pôda,Rad = row - Riad = Dishes - mesto = city - Miesto = Place - podá = will serve - pôda = soil,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/34_Track_34.mp3]
35 - Nil, 1) riad 2) miesto 3) rad 4) pečia 5) pečiny 6) podá 7) pôda 8) pes 9) piesok 10) biala 11) začieť 12) začiatok 13) vie 14) vieda ,[sound:/mnt/sdb4/Lang/Slovake/KrizomKrazom/Audio/KK_A1_1/35_Track_35.mp3]































