?,L l,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound21_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound22_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound23_lit.mp3]
?,M m,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound24_lit.mp3]
?,N n,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound25_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound26_lit.mp3]
?,O o,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound27_lit.mp3]
?,Ó ó,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound28_lit.mp3]
?,P p,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound29_lit.mp3]
?,Q q,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound30_lit.mp3]
?,R r,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound31_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound32_lit.mp3]
?,S s,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound33_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound34_lit.mp3]
?,T t,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound35_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound36_lit.mp3]
?,U u,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound37_lit.mp3]
?,Ú ú,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound38_lit.mp3]
?,V v,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound39_lit.mp3]
?,W w,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound40_lit.mp3]
?,X x,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound41_lit.mp3]
?,Y y,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound42_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound43_lit.mp3]
?,Z z,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound44_lit.mp3]
?,? ?,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound45_lit.mp3]
?, ia,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound46_lit.mp3]
?,ie,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound47_lit.mp3]
?,iu,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound48_lit.mp3]
?,Ô ô,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/sound49_lit.mp3]
?,A-Z,[sound:file:///media/sean/MusIX/Slovak.Czech/slovake.eu-audio/ABECEDA/cela_abeceda_abc.mp3]
